127.0.0.1 - - [12/Jan/2020:19:39:50 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:39:51 +0900] "GET /Lecture_Evaluation/ HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:39:53 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:40:07 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:40:09 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11223
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:40:40 +0900] "POST /Lecture_Evaluation/reportAction.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:48:19 +0900] "GET /Lecture_Evaluation/index.jsp? HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:48:38 +0900] "GET /Lecture_Evaluation/index.jsp?search=asfdf HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:48:46 +0900] "GET /Lecture_Evaluation/index.jsp?search=%EA%B2%80%EC%83%89 HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:48:52 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:48:58 +0900] "GET /Lecture_Evaluation/ HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [12/Jan/2020:19:49:09 +0900] "GET /Lecture_Evaluation/index.jsp?search=%EA%B2%80%EC%83%89 HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:58:40 +0900] "POST /Lecture_Evaluation/evaluationRegisterAction.jsp HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:58:42 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:58:50 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:58:53 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:59:44 +0900] "POST /Lecture_Evaluation/evaluationRegisterAction.jsp HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:59:46 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [12/Jan/2020:21:00:29 +0900] "POST /Lecture_Evaluation/evaluationRegisterAction.jsp HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [12/Jan/2020:21:00:31 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:21:21 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:21:22 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:21:22 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:21:22 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:21:22 +0900] "GET /Lecture_Evaluation/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:21:22 +0900] "GET /Lecture_Evaluation/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:21:22 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:21:33 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:21:37 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 500 2349
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:24:04 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 500 2357
0:0:0:0:0:0:0:1 - - [12/Jan/2020:22:25:06 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 500 2349
