127.0.0.1 - - [01/Jan/2020:18:30:55 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:30:58 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:30:58 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:30:58 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:30:58 +0900] "GET /Lecture_Evaluation/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:30:58 +0900] "GET /Lecture_Evaluation/js/popper.min.js HTTP/1.1" 200 21162
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:30:58 +0900] "GET /Lecture_Evaluation/css/bootstarp.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:31:00 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:31:17 +0900] "GET /Lecture_Evaluation/index.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:32:01 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:32:01 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:32:14 +0900] "GET /Lecture_Evaluation/js/popper.min.js.map HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:32:14 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js.map HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:32:14 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css.map HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:33:43 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:33:43 +0900] "GET /Lecture_Evaluation/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:33:43 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:33:43 +0900] "GET /Lecture_Evaluation/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2020:18:33:43 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
